fold;genotipo_treino;genotipo_teste;modelo;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;1924;1935;1914;1945;1950;1360;719;1929;1919;1350;1375;1366;1361;1351;1841;1925;1915;1831;1928;1938;1947;1916;1958;713;1379;1374;404;1388;1373;1363;1918;403;1952;1942;410;1933;1833;1852;1547;1537;1557;1355;1365;1940;1378;1368;716;1931;1651;1640;1661;1922;1932;1941;1912;1951;748;738;1939;1917;1934;1926;1943;721;711;726;705;1376;1837;1847;1499;1488;1478;1356;1878;1840;1377;709;1372;704;1345;1339;402;714;1354
1;BR16+CD202;EMB48;PLS-DA;158;B3_EMB48_NIRRIG_REPROD00006.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.41001632636794116;False;-1.5322412614691647;-1.514291689187565;-1.5164840317283592;-1.4758895202925986;-1.4507870688436024;0.8280423131216861;0.24894676696337434;-1.5276595999377793;-1.5290227658191204;0.8783119183998852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;159;B3_EMB48_NIRRIG_REPROD00007.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4114593430849449;False;-1.533318779795309;-1.5156158548771699;-1.517391792518495;-1.47687824539538;-1.4513184883838226;0.8266775264660012;0.25094514015935776;-1.528682998875149;-1.53056772542785;0.8775480902800902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;160;B1_EMB48_IRRIG_REPROD00000.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.419389408198066;True;-1.5002763353901254;-1.4900570998974807;-1.4851064041268234;-1.463062326380459;-1.444799286455551;0.8318509399647135;0.22162546739089428;-1.498514180362134;-1.49656580423377;0.884142304819857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;161;B1_EMB48_IRRIG_REPROD00001.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4165792610776883;True;-1.5017901554056003;-1.4912350894503243;-1.4866939470230705;-1.464429999808065;-1.4452844062323074;0.8324586901527553;0.22106212271766992;-1.499664484168289;-1.4978171253451018;0.8844190108397915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;162;B1_EMB48_IRRIG_REPROD00002.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.41401240667585537;True;-1.5045967008583916;-1.4941098823444352;-1.4891559366714364;-1.4668224692006968;-1.4478830364830761;0.8319879579805939;0.22259270411789833;-1.5026665087291577;-1.5005069734569727;0.8838293366590185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;163;B1_EMB48_IRRIG_REPROD00003.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4098327581520753;True;-1.5057963911373522;-1.4952606511373998;-1.4899549188137813;-1.467747599856845;-1.4489890731872221;0.8327691679890927;0.22114769373813828;-1.5039877013131666;-1.5018597423443285;0.884641683625253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;164;B1_EMB48_IRRIG_REPROD00004.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.49602449134030174;True;-1.509222311157651;-1.4917836238901627;-1.48764615221515;-1.4516348506938515;-1.4246291953460795;0.8159199342753708;0.14515802700396233;-1.5056754512123969;-1.503737976548911;0.856949181416885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;165;B1_EMB48_IRRIG_REPROD00005.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4966132035752222;True;-1.5115023491379254;-1.4943708054803726;-1.4904091712518877;-1.4538505898106568;-1.4268109100267066;0.8147819019422432;0.1497517935848384;-1.5080988212623254;-1.5064327586658781;0.8554668646817509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;166;B1_EMB48_IRRIG_REPROD00006.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4977157823866547;True;-1.5127727167546954;-1.4960793795538587;-1.490812000312247;-1.4550348201613448;-1.4274797941007293;0.8140512298852783;0.15175605906654294;-1.5091678091743692;-1.507720409900836;0.8543994111030686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;167;B1_EMB48_IRRIG_REPROD00007.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.49482040245678904;True;-1.5147689319349773;-1.4978327726821228;-1.493042919533333;-1.4571421413243903;-1.429631038352971;0.8142179689041781;0.15343884995897922;-1.5111620943261297;-1.5092719890381756;0.8541576176798281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
